codigo_linha,linha,codigo_coluna,coluna,chi2,p,v_cramer,n,p_ajustado,significativo
adc1[SQ002],curso público externo,CE10,Ciencia_BasicaXAplicada,38.09055331693399,0.0037678846327300914,0.06695384702294115,1496,0.018992257874578766,True
adc1[SQ002],curso público externo,CE07,Orientacao_Politica,59.78531798409353,0.0009773973926971813,0.06465594201649381,1429,0.006224262159843331,True
adc1[SQ002],curso público externo,CE08,Nivel_Bolsa_CNPq,42.12241063670045,0.06986436031026676,0.040291311610425054,1496,0.16952381545873552,False
adc1[SQ002],curso público externo,CE11,GdeArea_CNPq,134.27687505614023,1.397538068198299e-11,0.10171750517317037,1492,4.611875625054387e-10,True
adc1[SQ002],curso público externo,CE13,Regiao_Geografica,31.002375561123092,0.15371419722869245,0.03424887763714898,1493,0.27568307111667667,False
adc1[SQ002],curso público externo,CE14,Tempo_Vinculo,34.14546947048852,0.08211672801876214,0.041364612517216286,1484,0.19083464962106697,False
adc1[SQ003],aula oficina escola básica,CE02,Sexo,15.93239753923881,0.014121453523796871,0.0821824769921711,1471,0.054186972823871714,False
adc1[SQ003],aula oficina escola básica,CE03,Escolaridade_Mae,41.32108019408159,0.24940427302616422,0.024357749329289087,1494,0.38459537429268315,False
adc1[SQ003],aula oficina escola básica,CE04,Cor_Raca,19.61597441683805,0.718391975167622,0.0,1449,0.8118813417990248,False
adc1[SQ003],aula oficina escola básica,CE05,Religiao,40.10592071718982,0.9775110290291473,0.0,1453,0.9834714621329836,False
adc1[SQ003],aula oficina escola básica,CE06,Importancia_Religiao,19.925429058748527,0.33703360082606276,0.02435046125454769,1076,0.48781179066930136,False
adc1[SQ003],aula oficina escola básica,CE10,Ciencia_BasicaXAplicada,23.716552348175863,0.16453503409996012,0.03571161466151667,1494,0.28693121122907,False
adc1[SQ003],aula oficina escola básica,CE07,Orientacao_Politica,42.48998293312054,0.06493810252555277,0.04187748491351254,1427,0.15992219278680905,False
adc1[SQ003],aula oficina escola básica,CE08,Nivel_Bolsa_CNPq,15.560252128570538,0.9861676016854712,0.0,1493,0.9861676016854712,False
adc1[SQ003],aula oficina escola básica,CE11,GdeArea_CNPq,86.94754769835475,5.64992137198216e-05,0.07105112936127697,1489,0.0005826481414856603,True
adc1[SQ003],aula oficina escola básica,CE13,Regiao_Geografica,50.9198866040537,0.0010798128187462662,0.06725453236637391,1491,0.006598856114560516,True
